Security Code,Issuer Name,Security Id,Security Name,Sector Name
514140,"Suryavanshi Spinning Mills Ltd.,",SURYVANSP,SURYAVANSHI SPINNING MILLS LTD.-$,Consumer Discretionary
514142,T T Ltd,TTL,T T LTD.-$,Consumer Discretionary
514162,Welspun India Ltd,WELSPUNIND,WELSPUN INDIA LTD.,Consumer Discretionary
514165,Indian Acrylics Ltd,INDIANACRY,INDIAN ACRYLICS LTD.,Commodities
514167,Ganesha Ecosphere Limited,GANECOS,GANESHA ECOSPHERE LTD.,Consumer Discretionary
514171,Ceeta Industries Ltd.,CEETAIN,CEETA INDUSTRIES LTD.,Fast Moving Consumer Goods
514175,"Vardhman Polytex Ltd.,",VARDMNPOLY,VARDHMAN POLYTEX LTD.,Consumer Discretionary
514183,Black Rose Industries Ltd,BLACKROSE,BLACK ROSE INDUSTRIES LTD.,Commodities
514197,S & T Corporation Limited,STCORP,S&T CORPORATION LTD.,Consumer Discretionary
514215,"Binny Ltd.,",BINNY,BINNY LTD.,Consumer Discretionary
514223,Ramgopal Polytex Ltd,RAMGOPOLY,RAMGOPAL POLYTEX LTD.,Services
514234,Sangam (India) Ltd,SANGAMIND,SANGAM (INDIA) LTD.,Consumer Discretionary
514236,TTL ENTERPRISES LIMITED,TTLEL,TTL Enterprises Ltd,Services
514238,MKVENTURES CAPITAL LIMITED,MKVENTURES,Mkventures Capital Ltd,Financial Services
514240,Kush Industries Limited,KUSHIND,Kush Industries Ltd,Consumer Discretionary
514248,Sree chem Resins Ltd,SRECR,SREECHEM RESINS LTD.,Commodities
514260,Surbhi Industries Limited,SURBHIN,SURBHI INDUSTRIES LTD.,Consumer Discretionary
514264,Seasons Textiles Ltd,SEASONST,SEASONS TEXTILES LTD.-$,Consumer Discretionary
514266,Zenith Fibres Limited,ZENIFIB,ZENITH FIBRES LTD.-$,Consumer Discretionary
514272,Bhilwara Spinners Ltd,BHILSPIN,BHILWARA SPINNERS LTD.,Consumer Discretionary
514274,"Aarvee Denims & Exports Ltd.,",AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.,Consumer Discretionary
514280,Sanrhea Technical Textiles Ltd.,SANTETX,SANRHEA TECHNICAL TEXTILES LTD.,Consumer Discretionary
514286,Ashima Ltd,ASHIMASYN,ASHIMA LTD.,Consumer Discretionary
514300,Pioneer Embroideries Ltd.,PIONEEREMB,PIONEER EMBROIDERIES LTD.-$,Consumer Discretionary
514302,Vippy Spinpro Ltd.,VIPPYSP,VIPPY SPINPRO LTD.,Consumer Discretionary
514312,Jaihind Synthetics Ltd.,JAIHINDS,JAIHIND SYNTHETICS LTD.,Consumer Discretionary
514316,Raghuvir Synthetics Ltd.,RAGHUSYN,RAGHUVIR SYNTHETICS LTD.,Consumer Discretionary
514318,Jattashankar Industries Limited,JATTAINDUS,JATTASHANKAR INDUSTIES LTD.,Consumer Discretionary
514322,Kamadgiri Fashion Limited,KAMADGIRI,KAMADGIRI FASHION LTD.-$,Consumer Discretionary
514326,Patspin India Ltd.,PATSPINLTD,PATSPIN INDIA LTD.,Consumer Discretionary
514330,ONE GLOBAL SERVICE PROVIDER LIMITED,ONEGLOBAL,One Global Service Provider Ltd,Healthcare
514332,Neo Infracon Ltd.,NEOINFRA,NEO INFRACON LTD.,Consumer Discretionary
